"Num","ClassName","Name","Cost","Type","Rarity","Target","Description"
"46","StarConstellation","连续航线","2","Power","Uncommon","Self","炼金单元脉冲效果额外触发1次，但每次也使所有敌人获得1层催化。"
"47","VesselOfPoison","毒剂容器","1","Power","Uncommon","Self","你的攻击对中毒敌人额外施加1层中毒。"
"48","WaveCrash","涌潮冲击","2","Attack","Uncommon","AllEnemies","对所有敌人造成12点伤害。若场上有炼金单元，施加1层催化。"
"49","CoralShield","珊瑚护层","1","Skill","Uncommon","Self","获得8点格挡。每有1个中毒敌人，额外获得2点格挡。"
"50","AbyssalWhisper","深海低语","1","Skill","Uncommon","AllEnemies","对所有敌人施加3层中毒。若任意敌人有6层以上中毒，抽1张牌。"
"51","PhantomSlash","远程剑影","1","Attack","Uncommon","AnyEnemy","造成10点伤害。若目标不是前排敌人，施加3层中毒。"
"52","TidalSurge","潮涌连斩","2","Attack","Uncommon","AnyEnemy","造成8点伤害。获得8点格挡。触发炼金单元脉冲。"
"53","StarryNight","星夜测绘","2","Skill","Uncommon","Self","抽4张牌。若场上有炼金单元，保留其中1张直到下回合。"
"54","PoisonMastery","神经损伤","1","Power","Uncommon","Self","能力。敌人每次因中毒失去生命时，等量累积神经损伤。累积达到12时清空，给予其1层神经震慑：下一次攻击伤害变为0。"
"55","ThornsBody","护身尖刺","1","Power","Uncommon","Self","每回合第一次受到攻击时，对攻击者造成5点伤害并施加2层中毒。"
"56","LodestarPower","引星实验","1","Skill","Uncommon","AllEnemies","召唤1个炼金单元。所有敌人获得1层催化。若场上已有炼金单元，改为使其释放。"
"57","SeaFoamBarrier","浪沫防线","1","Skill","Common","Self","获得5点格挡。若手牌中有炼金单元牌，额外获得5点格挡。"
"58","ConstellationMark","测绘标记","1","Skill","Common","AnyEnemy","施加2层中毒和1层催化。"
"59","ChemicalCatalyst","化学催化","1","Skill","Common","AnyEnemy","施加3层催化。若目标已有中毒，抽1张牌。"
"60","ThornsBarrier","尖刺壁垒","2","Skill","Uncommon","Self","获得12点格挡。获得3层反刺。"
"61","DeepSeaRegeneration","深海再生","1","Skill","Uncommon","Self","回复6点生命。若场上没有炼金单元，召唤1个炼金单元。"
"62","StarBlessing","引星祝福","1","Power","Uncommon","Self","场上有炼金单元时，你的攻击造成额外1点伤害。"
"63","SeafoamHealing","度算浪波·专精","2","Skill","Rare","Self","回复10点生命，获得10点格挡，并触发炼金单元脉冲。"
"64","StarCataclysm","我的海疆","3","Attack","Rare","AllEnemies","对所有敌人造成18点伤害。召唤1个炼金单元并立即触发其脉冲。所有敌人获得2层虚弱和2层催化。"
"65","AncientAlchemy","炼金术","1","Power","Rare","Self","每当你召唤炼金单元，抽1张牌。每回合限2次。"
"66","ConstellationLegacy","宝宝摇篮号","2","Power","Rare","Self","炼金单元上限+1。每场战斗第一次打出炼金单元牌时，额外召唤1个炼金单元。炼金单元释放后，获得4点格挡。"
"67","PoisonReaper","神经损伤爆发","2","Power","Rare","Self","能力。神经损伤触发神经震慑时，额外对该敌人施加6层中毒并触发一次炼金单元脉冲。"
"68","GuidingStar","至高之术","0","Power","Rare","Self","本场战斗第二次打出攻击牌后，获得1点力量。之后每回合第一次攻击额外触发一次神经腐蚀。"
"69","AbyssalForm","无垠海疆","3","Power","Rare","Self","回合开始时触发所有炼金单元脉冲。炼金单元释放效果翻倍。若本回合没有炼金单元脉冲，你的下一张攻击牌施加3层中毒。"
"70","NavigatorForesight","自由的第三面","1","Power","Rare","Self","每回合第一次你将击破炼金单元时，选择：改为触发脉冲；或释放后重新召唤1个炼金单元。"
